airport,Clothing & Accessories,Containers,Cosmetics,Electronics,Food & Drink,Household Items,Other,Outdoors Supplies,Supplies,Tools & Machines,Watches & Jewelry
PUB,1,0,2,0,0,0,2,0,0,0,3
PUW,1,0,0,0,0,0,0,0,0,2,0
PVC,1,0,0,1,0,0,2,0,0,0,1
PVD,78,16,45,59,3,4,80,12,3,22,43
PVU,0,0,3,1,0,0,2,0,0,0,0
PWM,18,3,16,44,0,5,43,5,2,13,23
RAP,28,1,9,20,1,0,33,2,3,13,21
RDD,7,0,2,16,0,1,12,3,3,3,12
RDM,7,1,5,7,0,0,13,3,1,3,15
RDU,109,31,66,170,5,4,174,23,7,29,123
RFD,3,0,1,3,0,0,5,0,0,2,3
RHI,1,2,1,0,0,0,0,0,1,1,0
RIC,95,20,45,105,2,2,100,12,5,27,60
RIW,0,0,1,0,0,0,1,0,0,0,0
RKD,2,0,0,0,0,0,0,0,0,0,1
RKS,0,0,0,2,0,0,3,0,0,0,0
RNO,99,19,65,109,4,4,141,16,7,28,74
ROA,8,1,5,10,0,0,1,0,0,0,6
ROC,11,3,12,24,1,0,26,0,2,10,12
RST,19,3,6,7,0,0,15,1,0,8,7
RSW,173,32,77,143,8,4,185,17,11,33,135
RUT,0,0,0,1,0,0,1,0,0,1,1
SAF,10,1,4,6,1,0,10,1,0,0,2
SAN,331,105,176,575,35,14,467,61,15,116,233
SAT,119,26,60,174,8,7,159,17,8,33,95
SAV,40,11,28,87,1,1,51,4,1,14,47
SAW,3,1,3,2,0,0,2,1,0,0,1
SBA,21,5,10,28,3,1,23,3,1,16,17
SBN,11,2,12,18,0,0,22,1,0,8,13
SBP,19,3,10,17,2,2,13,1,1,2,15
SBY,3,0,0,1,0,0,0,0,0,0,3
SCC,0,0,0,0,1,0,0,1,0,1,1
SCE,0,0,0,1,0,0,0,0,0,0,0
SCK,4,0,2,7,1,0,2,0,1,0,2
SDF,50,15,25,54,1,1,69,6,0,19,41
SDY,0,0,0,0,0,0,1,0,0,0,0
SEA,582,139,317,823,45,36,924,153,52,232,421
SFB,28,6,12,28,0,0,44,1,2,8,18
SFO,110,33,49,221,12,2,212,9,3,25,114
SGF,34,5,16,29,0,1,36,2,4,21,11
SGJ,0,0,0,2,0,0,2,0,0,0,0
