claim_amount	Approve	Settle	Deny
800	15	67	269
801	0	2	3
802	0	3	3
803	1	1	3
804	0	1	7
805	1	0	9
806	0	1	3
807	0	1	1
808	0	1	7
809	1	2	8
810	2	1	9
811	1	3	5
812	2	5	2
813	0	4	9
814	0	3	8
815	0	0	13
816	0	0	7
817	1	2	8
818	0	1	7
819	0	2	3
820	0	7	11
821	0	2	2
822	0	0	7
823	0	2	9
824	0	3	9
825	2	5	16
826	0	2	3
827	0	1	6
828	0	3	11
829	0	1	7
830	0	1	14
831	0	2	4
832	0	2	4
833	0	2	0
834	0	2	5
835	1	2	9
836	0	0	5
837	0	3	3
838	0	1	6
839	1	2	11
840	0	7	16
841	0	0	8
842	0	0	5
843	0	4	3
844	0	1	6
845	0	2	9
846	0	1	5
847	1	3	5
848	0	1	3
849	0	4	7
850	6	14	80
851	0	0	6
852	0	1	3
853	1	1	3
854	2	2	2
855	1	1	13
856	0	0	3
857	1	2	6
858	0	1	2
859	0	3	4
860	0	2	10
861	0	4	8
862	0	3	5
863	1	0	6
864	1	5	5
865	0	3	12
866	0	0	2
867	0	3	2
868	1	3	2
869	0	3	6
870	3	5	15
871	0	1	7
872	0	1	3
873	0	0	5
874	0	4	9
875	1	3	22
876	0	1	5
877	0	2	4
878	0	0	5
879	0	5	5
880	0	4	11
881	0	1	4
882	0	2	1
883	0	1	3
884	0	2	4
885	0	1	11
886	0	2	8
887	1	1	2
888	0	4	3
889	0	1	10
890	0	5	10
891	0	2	3
892	1	1	6
893	0	1	1
894	0	1	7
895	1	2	10
896	0	0	6
897	1	2	4
898	1	3	8
899	2	8	20
900	4	26	158
901	1	3	1
902	0	1	6
903	0	0	4
904	1	5	6
905	0	1	3
906	0	1	3
907	0	1	3
908	0	0	2
909	0	3	11
910	1	3	8
911	2	3	5
912	2	1	6
913	0	0	7
914	1	2	3
915	1	2	4
916	1	1	3
917	0	2	0
918	1	1	7
919	0	2	2
920	0	7	14
921	0	0	1
922	0	1	2
923	0	0	4
924	2	3	1
925	0	6	14
926	0	1	6
927	0	1	3
928	0	1	6
929	1	3	6
930	2	1	14
931	0	0	3
932	0	1	8
933	0	0	2
934	1	3	2
935	0	0	4
936	0	2	4
937	0	3	5
938	0	2	8
939	1	2	2
940	1	3	7
941	1	0	4
942	0	2	2
943	1	2	5
944	0	2	6
945	0	2	10
946	0	0	4
947	0	2	3
948	1	2	5
949	0	2	11
950	2	13	72
951	1	0	2
952	0	1	3
953	0	2	3
954	1	1	5
955	0	4	9
956	0	4	2
957	0	2	4
958	2	1	3
959	0	3	7
960	0	3	8
961	0	1	4
962	0	3	4
963	0	1	5
964	0	1	5
965	0	1	9
966	0	0	4
967	0	1	3
968	0	6	8
969	0	1	7
970	1	3	15
971	0	0	4
972	0	1	6
973	1	1	0
974	0	2	9
975	0	2	27
976	0	1	5
977	0	1	11
978	0	2	11
979	0	0	11
980	0	4	15
981	0	1	2
982	0	1	3
983	1	3	4
984	0	0	6
985	0	3	11
986	0	0	3
987	0	0	3
988	0	0	7
989	0	1	10
990	1	2	10
991	0	3	3
992	0	2	4
993	0	1	2
994	0	1	4
995	0	3	15
996	0	0	1
997	0	0	6
998	0	3	8
999	1	4	23
1000	23	41	451
1001	0	2	4
1002	0	0	3
1003	0	0	5
1004	0	2	2
1005	0	1	3
1006	0	2	8
1007	0	0	2
1008	1	1	3
1009	0	1	6
1010	0	0	10
1011	0	1	1
